year,admin_name,access,simday,duration,coverage,net_life_lognormal_mu,net_life_lognormal_sigma,bio_mortality,block_initial,kill_initial,indoor_net_protection
2010,AA,0.000779359,0,365,0.000701423,6.420126265,0.8,0.664347768,0.839644554,0.473212076,0.75
2011,AA,0.001558718,365,365,0.001402846,6.420126265,0.8,0.696639299,0.853210931,0.501526469,0.75
2012,AA,0.002338077,730,365,0.002104269,6.420126265,0.8,0.703501642,0.855940424,0.507555554,0.75
2013,AA,0.003117436,1095,365,0.002805692,6.420126265,0.8,0.632484734,0.825100555,0.445496185,0.75
2014,AA,0.003896794,1460,365,0.003507115,6.420126265,0.8,0.505514622,0.757042982,0.340448969,0.75
2015,AA,0.004676153,1825,365,0.004208538,6.420126265,0.8,0.320310831,0.644643482,0.214145279,0.75
2016,AA,0.005455512,2190,365,0.004909961,6.420126265,0.8,0.633453488,0.825559388,0.446333905,0.75
2017,AA,0.006234871,2555,365,0.005611384,6.420126265,0.8,0.319067389,0.643909998,0.213427459,0.75
2018,AA,0.00701423,2920,365,0.006312807,6.420126265,0.8,0.319067389,0.643909998,0.213427459,0.75
2019,AA,0.00701423,3285,365,0.006312807,6.420126265,0.8,0.319067389,0.643909998,0.213427459,0.75
2020,AA,0.00701423,3650,365,0.006312807,6.420126265,0.8,0.319067389,0.643909998,0.213427459,0.75
2021,AA,0.00701423,4015,365,0.006312807,6.420126265,0.8,0.319067389,0.643909998,0.213427459,0.75
2022,AA,0.00701423,4380,-1,0.006312807,6.420126265,0.8,0.319067389,0.643909998,0.213427459,0.75
2010,BB,0.000238743,0,365,0.000214869,6.420126265,0.8,0.679282288,0.846066907,0.486289926,0.75
2011,BB,0.000477487,365,365,0.000429738,6.420126265,0.8,0.712805847,0.859555406,0.515729951,0.75
2012,BB,0.00071623,730,365,0.000644607,6.420126265,0.8,0.724760234,0.864055835,0.526226014,0.75
2013,BB,0.000954973,1095,365,0.000859476,6.420126265,0.8,0.667693456,0.841105393,0.476138216,0.75
2014,BB,0.001193717,1460,365,0.001074345,6.420126265,0.8,0.497638146,0.752398884,0.334342889,0.75
2015,BB,0.00143246,1825,365,0.001289214,6.420126265,0.8,0.295704424,0.630297369,0.200270353,0.75
2016,BB,0.001671203,2190,365,0.001504083,6.420126265,0.8,0.623636961,0.820862591,0.437862579,0.75
2017,BB,0.001909947,2555,365,0.001718952,6.420126265,0.8,0.311454386,0.63943816,0.209071347,0.75
2018,BB,0.00214869,2920,365,0.001933821,6.420126265,0.8,0.311454386,0.63943816,0.209071347,0.75
2019,BB,0.00214869,3285,365,0.001933821,6.420126265,0.8,0.311454386,0.63943816,0.209071347,0.75
2020,BB,0.00214869,3650,365,0.001933821,6.420126265,0.8,0.311454386,0.63943816,0.209071347,0.75
2021,BB,0.00214869,4015,365,0.001933821,6.420126265,0.8,0.311454386,0.63943816,0.209071347,0.75
2022,BB,0.00214869,4380,-1,0.001933821,6.420126265,0.8,0.311454386,0.63943816,0.209071347,0.75
2010,CC,0,0,365,0,6.420126265,0.8,0.725686066,0.864397644,0.527038344,0.75
2011,CC,0,365,365,0,6.420126265,0.8,0.718243659,0.861622614,0.52050582,0.75
2012,CC,0,730,365,0,6.420126265,0.8,0.704786887,0.856445653,0.508684813,0.75
2013,CC,0,1095,365,0,6.420126265,0.8,0.728258663,0.865342362,0.529295002,0.75
2014,CC,0,1460,365,0,6.420126265,0.8,0.609168017,0.813750957,0.425453692,0.75
2015,CC,0,1825,365,0,6.420126265,0.8,0.614491631,0.816393395,0.430007862,0.75
2016,CC,0,2190,365,0,6.420126265,0.8,0.648895625,0.832733261,0.459732631,0.75
2017,CC,0,2555,365,0,6.420126265,0.8,0.658846787,0.837215033,0.468406347,0.75
2018,CC,0,2920,365,0,6.420126265,0.8,0.658846787,0.837215033,0.468406347,0.75
2019,CC,0,3285,365,0,6.420126265,0.8,0.658846787,0.837215033,0.468406347,0.75
2020,CC,0,3650,365,0,6.420126265,0.8,0.658846787,0.837215033,0.468406347,0.75
2021,CC,0,4015,365,0,6.420126265,0.8,0.658846787,0.837215033,0.468406347,0.75
2022,CC,0,4380,-1,0,6.420126265,0.8,0.658846787,0.837215033,0.468406347,0.75
2010,DD,0.000278646,0,365,0.000250781,6.420126265,0.8,0.586097277,0.801962724,0.405891701,0.75
2011,DD,0.000557291,365,365,0.000501562,6.420126265,0.8,0.561723823,0.788946368,0.385579502,0.75
2012,DD,0.000835937,730,365,0.000752343,6.420126265,0.8,0.607822062,0.813078172,0.424304506,0.75
2013,DD,0.001114582,1095,365,0.001003124,6.420126265,0.8,0.429234321,0.710947329,0.283898166,0.75
2014,DD,0.001393228,1460,365,0.001253905,6.420126265,0.8,0.335197958,0.653487752,0.22287766,0.75
2015,DD,0.001671873,1825,365,0.001504686,6.420126265,0.8,0.288132678,0.625960264,0.196140184,0.75
2016,DD,0.001950519,2190,365,0.001755467,6.420126265,0.8,0.296455075,0.630729439,0.200683373,0.75
2017,DD,0.002229164,2555,365,0.002006248,6.420126265,0.8,0.476373849,0.739697707,0.318153138,0.75
2018,DD,0.00250781,2920,365,0.002257029,6.420126265,0.8,0.476373849,0.739697707,0.318153138,0.75
2019,DD,0.00250781,3285,365,0.002257029,6.420126265,0.8,0.476373849,0.739697707,0.318153138,0.75
2020,DD,0.00250781,3650,365,0.002257029,6.420126265,0.8,0.476373849,0.739697707,0.318153138,0.75
2021,DD,0.00250781,4015,365,0.002257029,6.420126265,0.8,0.476373849,0.739697707,0.318153138,0.75
2022,DD,0.00250781,4380,-1,0.002257029,6.420126265,0.8,0.476373849,0.739697707,0.318153138,0.75
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
