month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
1,948.5,0.02164821648216,2010,0,0.1,EE
2,950.4,0.021955667789,2010,0,0.1,EE
3,958.9333333333,0.0207522246941,2010,0,0.1,EE
4,966.8333333333,0.01689363902775,2010,0,0.1,EE
5,971.9333333333,0.0146786473695,2010,0,0.1,EE
6,968.8666666667,0.01565402876213,2010,0,0.1,EE
7,965.3666666667,0.0207865750492,2010,0,0.1,EE
8,955.8666666667,0.02584042404798,2010,0,0.1,EE
9,952.9666666667,0.03805659519396,2010,0,0.1,EE
10,951.8666666667,0.04703039641406,2010,0,0.1,EE
11,953.4666666667,0.05034260942526,2010,0,0.1,EE
12,950.4333333333,0.0402623364781,2010,0,0.1,EE
1,946.5333333333,0.03194111846739,2011,0,0.1,EE
2,943.2,0.03258411082839,2011,0,0.1,EE
3,944.3,0.02838081118289,2011,0,0.1,EE
4,944.9666666667,0.0226815760697,2011,0,0.1,EE
5,941.6,0.01798357405834,2011,0,0.1,EE
6,945.2,0.02052475666526,2011,0,0.1,EE
7,951.5333333333,0.03170321586212,2011,0,0.1,EE
8,956.9666666667,0.0463269358041,2011,0,0.1,EE
9,958.6333333333,0.05358322612052,2011,0,0.1,EE
10,959.8666666667,0.07445478538686,2011,0,0.1,EE
11,962.2666666667,0.06633642787862,2011,0,0.1,EE
12,955.1,0.04554496911318,2011,0,0.1,EE
1,960.7,0.03334374241005,2012,0,0.1,EE
2,958.9,0.03097298988424,2012,0,0.1,EE
3,952.7666666667,0.02501486897806,2012,0,0.1,EE
4,954.6666666667,0.02227653631285,2012,0,0.1,EE
5,956.5666666667,0.01599470327909,2012,0,0.1,EE
6,953.0,0.01273172437915,2012,0,0.1,EE
7,950.5,0.02118183412239,2012,0,0.1,EE
8,942.7333333333,0.02765009546708,2012,0,0.1,EE
9,942.1333333333,0.04503962637985,2012,0,0.1,EE
10,946.5333333333,0.06014931680518,2012,0,0.1,EE
11,951.5666666667,0.04795600238204,2012,0,0.1,EE
12,953.4333333333,0.03768835436842,2012,0,0.1,EE
1,961.7333333333,0.02575211423818,2013,0,0.1,EE
2,968.9333333333,0.02325581395349,2013,0,0.1,EE
3,973.1333333333,0.02445708022196,2013,0,0.1,EE
4,985.1333333333,0.01779792921432,2013,0,0.1,EE
5,986.7666666667,0.01466067628281,2013,0,0.1,EE
6,986.3666666667,0.01338244736575,2013,0,0.1,EE
7,983.9,0.01964969339703,2013,0,0.1,EE
8,980.2,0.03060599877576,2013,0,0.1,EE
9,979.1666666667,0.04394893617021,2013,0,0.1,EE
10,977.0,0.04131695667008,2013,0,0.1,EE
11,980.4666666667,0.04878629224179,2013,0,0.1,EE
12,969.6333333333,0.03987761696861,2013,0,0.1,EE
1,961.3,0.03446721453587,2014,0,0.1,EE
2,957.8,0.0258926707037,2014,0,0.1,EE
3,950.5,0.02503945291952,2014,0,0.1,EE
4,938.1333333333,0.01428368391131,2014,0,0.1,EE
5,931.4,0.01245436976594,2014,0,0.1,EE
6,926.0,0.009071274298056,2014,0,0.1,EE
7,928.1,0.02959451208562,2014,0,0.1,EE
8,929.8,0.03631605363161,2014,0,0.1,EE
9,930.3,0.04457343509262,2014,0,0.1,EE
10,927.1333333333,0.05641044078522,2014,0,0.1,EE
11,930.6,0.05079160398309,2014,0,0.1,EE
12,939.3333333333,0.0361249112846,2014,0,0.1,EE
1,941.8333333333,0.01819147053619,2015,0,0.1,EE
2,944.2,0.02005224881734,2015,0,0.1,EE
3,954.3,0.02500960564463,2015,0,0.1,EE
4,959.8666666667,0.02462147520489,2015,0,0.1,EE
5,951.7,0.02297642814612,2015,0,0.1,EE
6,952.9666666667,0.01406135226835,2015,0,0.1,EE
7,953.7333333333,0.01775478820075,2015,0,0.1,EE
8,958.0666666667,0.02543316401086,2015,0,0.1,EE
9,956.4,0.04091732887216,2015,0,0.1,EE
10,959.0666666667,0.04817183372723,2015,0,0.1,EE
11,960.0,0.05059027777778,2015,0,0.1,EE
12,964.3666666667,0.03860910442086,2015,0,0.1,EE
1,961.5,0.02485699427977,2016,0,0.1,EE
2,960.9,0.01859367953655,2016,0,0.1,EE
3,960.3666666667,0.01745860955885,2016,0,0.1,EE
4,953.8,0.01988537079751,2016,0,0.1,EE
5,943.7,0.01889724841934,2016,0,0.1,EE
6,943.6,0.01236399604352,2016,0,0.1,EE
7,945.8666666667,0.02438680575134,2016,0,0.1,EE
8,945.8,0.03901459082258,2016,0,0.1,EE
9,953.1,0.05228552442906,2016,0,0.1,EE
10,967.0666666667,0.06966083000138,2016,0,0.1,EE
11,968.2666666667,0.07480721564307,2016,0,0.1,EE
12,965.8333333333,0.0509404659189,2016,0,0.1,EE
1,968.4666666667,0.03228471122737,2017,0,0.1,EE
2,963.6666666667,0.02421307506053,2017,0,0.1,EE
3,960.1666666667,0.01878146155181,2017,0,0.1,EE
4,963.7,0.01912766766975,2017,0,0.1,EE
5,965.2,0.01609338306396,2017,0,0.1,EE
6,964.2666666667,0.0139657079646,2017,0,0.1,EE
7,962.0666666667,0.01992238930081,2017,0,0.1,EE
8,950.4666666667,0.02468962614856,2017,0,0.1,EE
9,947.4666666667,0.03380945679707,2017,0,0.1,EE
10,943.6,0.05832273562244,2017,0,0.1,EE
11,945.3666666667,0.05133810514439,2017,0,0.1,EE
12,942.1333333333,0.0452519105576,2017,0,0.1,EE
1,976.0333333333,0.1986612479082,2010,1,1.5848931924611125,CC
2,965.2,0.1549937836718,2010,1,1.5848931924611125,CC
3,962.3666666667,0.1543417269925,2010,1,1.5848931924611125,CC
4,955.7,0.1601618360015,2010,1,1.5848931924611125,CC
5,959.4666666667,0.1401820455809,2010,1,1.5848931924611125,CC
6,971.3333333333,0.1509608785175,2010,1,1.5848931924611125,CC
7,974.7,0.2179816011764,2010,1,1.5848931924611125,CC
8,968.0,0.2957988980716,2010,1,1.5848931924611125,CC
9,957.6,0.3808479532164,2010,1,1.5848931924611125,CC
10,953.2,0.4064904182403,2010,1,1.5848931924611125,CC
11,947.6333333333,0.3543916423371,2010,1,1.5848931924611125,CC
12,943.3333333333,0.262332155477,2010,1,1.5848931924611125,CC
1,942.7,0.1715639475266,2011,1,1.5848931924611125,CC
2,941.9666666667,0.1599490427828,2011,1,1.5848931924611125,CC
3,950.9666666667,0.1675137579305,2011,1,1.5848931924611125,CC
4,950.5,0.1792740662809,2011,1,1.5848931924611125,CC
5,958.3,0.1663710042088,2011,1,1.5848931924611125,CC
6,959.4666666667,0.1926764869372,2011,1,1.5848931924611125,CC
7,961.3,0.2922084677,2011,1,1.5848931924611125,CC
8,961.4,0.3651619166493,2011,1,1.5848931924611125,CC
9,957.5666666667,0.4398649354266,2011,1,1.5848931924611125,CC
10,956.9666666667,0.4443554286112,2011,1,1.5848931924611125,CC
11,958.3666666667,0.3807171924455,2011,1,1.5848931924611125,CC
12,960.2,0.2865028119142,2011,1,1.5848931924611125,CC
1,955.4,0.2039285465076,2012,1,1.5848931924611125,CC
2,953.3,0.1706353368999,2012,1,1.5848931924611125,CC
3,958.2333333333,0.1869760322816,2012,1,1.5848931924611125,CC
4,959.4333333333,0.2032102282597,2012,1,1.5848931924611125,CC
5,956.5,0.1902770517512,2012,1,1.5848931924611125,CC
6,953.4333333333,0.2217949166171,2012,1,1.5848931924611125,CC
7,952.3666666667,0.328724930874,2012,1,1.5848931924611125,CC
8,947.5333333333,0.4074790684585,2012,1,1.5848931924611125,CC
9,936.8666666667,0.4396214331459,2012,1,1.5848931924611125,CC
10,929.7,0.441038327776,2012,1,1.5848931924611125,CC
11,919.7333333333,0.375362423891,2012,1,1.5848931924611125,CC
12,920.4666666667,0.2807271673789,2012,1,1.5848931924611125,CC
1,928.8666666667,0.1884375224288,2013,1,1.5848931924611125,CC
2,927.6333333333,0.1672356175213,2013,1,1.5848931924611125,CC
3,922.4,0.1906981786644,2013,1,1.5848931924611125,CC
4,921.7666666667,0.1969768198749,2013,1,1.5848931924611125,CC
5,918.6,0.1727629000653,2013,1,1.5848931924611125,CC
6,921.4333333333,0.176500379843,2013,1,1.5848931924611125,CC
7,912.9666666667,0.2847493519296,2013,1,1.5848931924611125,CC
8,910.4333333333,0.3643320030755,2013,1,1.5848931924611125,CC
9,907.6,0.4326061407375,2013,1,1.5848931924611125,CC
10,908.0,0.4350587371512,2013,1,1.5848931924611125,CC
11,913.0333333333,0.3845423679311,2013,1,1.5848931924611125,CC
12,908.6,0.2826326216157,2013,1,1.5848931924611125,CC
1,907.3666666667,0.18827375923,2014,1,1.5848931924611125,CC
2,911.9666666667,0.1622135311963,2014,1,1.5848931924611125,CC
3,914.4333333333,0.1888236795101,2014,1,1.5848931924611125,CC
4,912.2,0.2030621939633,2014,1,1.5848931924611125,CC
5,912.6333333333,0.1750611782753,2014,1,1.5848931924611125,CC
6,918.8,0.1824118415324,2014,1,1.5848931924611125,CC
7,923.7,0.3199451481361,2014,1,1.5848931924611125,CC
8,927.7,0.3767741008228,2014,1,1.5848931924611125,CC
9,939.8,0.4136341065475,2014,1,1.5848931924611125,CC
10,945.3,0.4117916710744,2014,1,1.5848931924611125,CC
11,942.2666666667,0.3556318098203,2014,1,1.5848931924611125,CC
12,937.6,0.2614832195677,2014,1,1.5848931924611125,CC
1,938.1666666667,0.1868182625688,2015,1,1.5848931924611125,CC
2,931.7333333333,0.1344805380653,2015,1,1.5848931924611125,CC
3,930.1666666667,0.1213760974736,2015,1,1.5848931924611125,CC
4,922.9333333333,0.1236997977463,2015,1,1.5848931924611125,CC
5,920.4333333333,0.1065440191214,2015,1,1.5848931924611125,CC
6,915.7,0.1137563248517,2015,1,1.5848931924611125,CC
7,914.4333333333,0.170451645828,2015,1,1.5848931924611125,CC
8,913.5666666667,0.2178275623016,2015,1,1.5848931924611125,CC
9,905.7666666667,0.2813822544437,2015,1,1.5848931924611125,CC
10,905.2,0.3174252467226,2015,1,1.5848931924611125,CC
11,899.0,0.2870967741935,2015,1,1.5848931924611125,CC
12,902.6666666667,0.2070162481536,2015,1,1.5848931924611125,CC
1,906.5,0.1394741680456,2016,1,1.5848931924611125,CC
2,913.6,0.1251459427904,2016,1,1.5848931924611125,CC
3,915.3,0.1233111183947,2016,1,1.5848931924611125,CC
4,916.4666666667,0.1304284571179,2016,1,1.5848931924611125,CC
5,915.6666666667,0.131306880233,2016,1,1.5848931924611125,CC
6,914.3333333333,0.1289828654758,2016,1,1.5848931924611125,CC
7,920.9333333333,0.212031272622,2016,1,1.5848931924611125,CC
8,932.3666666667,0.2769654284795,2016,1,1.5848931924611125,CC
9,933.3666666667,0.3496303703439,2016,1,1.5848931924611125,CC
10,933.7333333333,0.3711980579752,2016,1,1.5848931924611125,CC
11,931.3666666667,0.3100461687126,2016,1,1.5848931924611125,CC
12,932.8,0.2226272155517,2016,1,1.5848931924611125,CC
1,937.5,0.1516088888889,2017,1,1.5848931924611125,CC
2,935.9333333333,0.124759598262,2017,1,1.5848931924611125,CC
3,936.3666666667,0.1255206293831,2017,1,1.5848931924611125,CC
4,939.5,0.1362426822778,2017,1,1.5848931924611125,CC
5,943.5333333333,0.1290539108316,2017,1,1.5848931924611125,CC
6,939.8333333333,0.1427203404859,2017,1,1.5848931924611125,CC
7,934.9,0.2340713801833,2017,1,1.5848931924611125,CC
8,937.6,0.2947241183163,2017,1,1.5848931924611125,CC
9,938.3,0.3257664570677,2017,1,1.5848931924611125,CC
10,938.5,0.3341857574143,2017,1,1.5848931924611125,CC
11,935.9666666667,0.2875458527725,2017,1,1.5848931924611125,CC
12,932.9666666667,0.2029368680553,2017,1,1.5848931924611125,CC
1,898.8333333333,0.001001297978861,2010,0,0.025118864315095794,FF
2,894.6333333333,0.001564886918291,2010,0,0.025118864315095794,FF
3,892.4666666667,0.001045790692463,2010,0,0.025118864315095794,FF
4,900.4333333333,0.0007033650464591,2010,0,0.025118864315095794,FF
5,894.2,0.001081040781332,2010,0,0.025118864315095794,FF
6,897.5333333333,0.0002228329495655,2010,0,0.025118864315095794,FF
7,902.3666666667,0.0008865575708323,2010,0,0.025118864315095794,FF
8,904.4666666667,0.0006633743642662,2010,0,0.025118864315095794,FF
9,903.8666666667,0.001069479274229,2010,0,0.025118864315095794,FF
10,904.6,0.002984744638514,2010,0,0.025118864315095794,FF
11,914.6,0.001202711567899,2010,0,0.025118864315095794,FF
12,921.7,0.0003254855158945,2010,0,0.025118864315095794,FF
1,927.0333333333,7.191399086692e-05,2011,0,0.025118864315095794,FF
2,925.8333333333,0.001296129612961,2011,0,0.025118864315095794,FF
3,925.3333333333,0.0006844380403458,2011,0,0.025118864315095794,FF
4,924.1333333333,0.0003606983119319,2011,0,0.025118864315095794,FF
5,926.8666666667,0.003380565345609,2011,0,0.025118864315095794,FF
6,930.0333333333,0.0004300921113939,2011,0,0.025118864315095794,FF
7,935.8666666667,0.002315144607494,2011,0,0.025118864315095794,FF
8,935.3,0.001960155386863,2011,0,0.025118864315095794,FF
9,930.1666666667,0.0005017022039061,2011,0,0.025118864315095794,FF
10,936.0,0.0,2011,0,0.025118864315095794,FF
11,940.2333333333,0.001808061828624,2011,0,0.025118864315095794,FF
12,941.4333333333,0.001841164182275,2011,0,0.025118864315095794,FF
1,936.7666666667,0.0009251681315162,2012,0,0.025118864315095794,FF
2,938.7666666667,0.0001775379043426,2012,0,0.025118864315095794,FF
3,940.6,0.0,2012,0,0.025118864315095794,FF
4,938.0666666667,0.001456897164381,2012,0,0.025118864315095794,FF
5,936.9,0.004589604013235,2012,0,0.025118864315095794,FF
6,940.7666666667,0.001240123303688,2012,0,0.025118864315095794,FF
7,940.9333333333,0.002373529828539,2012,0,0.025118864315095794,FF
8,934.0333333333,0.001213375682524,2012,0,0.025118864315095794,FF
9,929.5666666667,0.002797002187399,2012,0,0.025118864315095794,FF
10,921.5,0.003725809368783,2012,0,0.025118864315095794,FF
11,923.6,0.002093258264761,2012,0,0.025118864315095794,FF
12,917.9,0.001307331953372,2012,0,0.025118864315095794,FF
1,915.4,0.0001820697691355,2013,0,0.025118864315095794,FF
2,919.1333333333,0.0,2013,0,0.025118864315095794,FF
3,915.6,0.0,2013,0,0.025118864315095794,FF
4,914.8666666667,7.287036362311e-05,2013,0,0.025118864315095794,FF
5,913.0333333333,0.001022233580373,2013,0,0.025118864315095794,FF
6,915.4333333333,0.0005461894184903,2013,0,0.025118864315095794,FF
7,920.6666666667,0.001122375090514,2013,0,0.025118864315095794,FF
8,936.0666666667,0.0008546399829072,2013,0,0.025118864315095794,FF
9,933.3333333333,0.0007857142857143,2013,0,0.025118864315095794,FF
10,924.1333333333,0.002019910546819,2013,0,0.025118864315095794,FF
11,924.6,0.0006489292667099,2013,0,0.025118864315095794,FF
12,925.1333333333,0.001080925272033,2013,0,0.025118864315095794,FF
1,922.5,0.0004697380307136,2014,0,0.025118864315095794,FF
2,927.3,0.001473812861713,2014,0,0.025118864315095794,FF
3,928.2333333333,0.001328688907243,2014,0,0.025118864315095794,FF
4,924.9666666667,0.0008288586976107,2014,0,0.025118864315095794,FF
