DS_Name,id,rank,eir2005,Habitat_Multiplier,ITN_2011,ITN_2014,ITN_2017,ITN_2020,CM_cov_2013,CM_cov_2017,CM_cov_2020,seed1,seed2,reduce_id,archetype
Anie,393,1,6.10417883290462,1.03214392124863,0.270751367874595,0.49009201776463,0.702643096210299,0.936814104909097,0.17939493493161,0.310471805651153,0.399391838323128,31136,31286,39,Doufelgou
Anie,430,2,7.99769291624496,1.28207264240326,0.499230807303221,0.49236728881109,0.8326134099601,0.801772737809818,0.292368008637784,0.494750593858561,0.440743238749104,33534,50228,43,Doufelgou
Anie,345,3,5.374505835042,0.787882200282009,0.423372252703078,0.476884665559255,0.838372196715107,0.593195619058843,0.22165224917444,0.287557869507233,0.390503834783128,30736,26621,34,Doufelgou
Anie,344,4,4.74519400596638,0.787882200282009,0.441468581390023,0.510017790052323,0.799268337941729,0.946855484717146,0.329285485391025,0.308344457329009,0.450007860105525,30736,29514,34,Doufelgou
Anie,379,5,6.54701484965267,0.928083313371988,0.513373562755669,0.328982350551411,0.7942603823454,0.969588646909905,0.318833098801054,0.287312175537341,0.398655496430623,28644,30239,37,Doufelgou
Assoli,644,1,18.7237596758013,3.96220299792636,0.480309586590492,0.414505515106196,0.663632731272892,0.821819115541151,0.322490029470176,0.441436264368357,0.400158479374893,30251,5175,64,Doufelgou
Assoli,638,2,15.9953833170021,3.75363807520522,0.532011274281149,0.643258448198182,0.516582712067806,0.748321958922928,0.294329746404188,0.410032599346172,0.309587370542977,26249,646,63,Doufelgou
Assoli,645,3,18.8776250843166,3.96220299792636,0.705169308825379,0.452420385269563,0.57059632033125,0.688150281768161,0.287252282189333,0.260052679775712,0.43410990096426,30251,9939,64,Doufelgou
Assoli,643,4,18.0238305245747,3.96220299792636,0.614693402668444,0.447280892228529,0.71243411635309,0.831427945863199,0.292738428983018,0.568340693525233,0.470613384215961,30251,6980,64,Doufelgou
Assoli,658,5,19.5182896516155,4.16150070081125,0.472213612626553,0.587749928932667,0.764632164742574,0.171087205305591,0.365374900504018,0.204506727270427,0.594543803752155,31545,40128,65,Doufelgou
Bassar,599,1,17.836757088982,3.01737673472653,0.638533949980633,0.571575135811172,0.546315231424014,0.891892658131563,0.2646965311389,0.306847746522218,0.604507663878961,20438,38690,59,Doufelgou
Bassar,596,2,16.975109241868,3.01737673472653,0.357862655555579,0.569020774531769,0.597339558765217,0.934420749777243,0.235743365826308,0.325985706168432,0.551244441315848,20438,55606,59,Doufelgou
Bassar,580,3,16.9846942793272,2.86315019067709,0.686058755497295,0.609843113061843,0.387924222459801,0.834703294604857,0.255860775388921,0.499594288178402,0.598958237322586,31781,37513,58,Doufelgou
Bassar,634,4,20.5427602515006,3.75363807520522,0.678997736213172,0.623975394709506,0.843741240877693,0.829991187648531,0.342569270737295,0.251666473985379,0.597391843086164,35924,5378,63,Doufelgou
Bassar,589,5,18.1862663528805,2.86315019067709,0.446880291684888,0.728263891982248,0.698189951190421,0.967113260078429,0.218573423095773,0.479643889261547,0.44772101966059,31781,55077,58,Doufelgou
Binah,521,1,12.2458748950638,2.07500448561385,0.475902419782911,0.64374622959673,0.623115001500661,0.660879257356512,0.0999011933878803,0.452968553539271,0.234128238782228,23953,42200,52,Doufelgou
Binah,571,2,15.6192124022397,2.70856959857937,0.545778956566915,0.593978201961314,0.635735030010227,0.826477218891631,0.237163555994523,0.649539678038344,0.318498713547212,25608,13002,57,Doufelgou
Binah,543,3,13.5300399895995,2.30627957572954,0.599466261547706,0.680269703100334,0.703326819853607,0.517168590076078,0.187370979504236,0.396756075478038,0.365659730446058,21823,18643,54,Doufelgou
Binah,546,4,13.5811523258011,2.30627957572954,0.536760298362991,0.614240845821707,0.747561646175911,0.512414110148559,0.278422888528974,0.43196792608891,0.420223612380884,21823,44717,54,Doufelgou
Binah,522,5,12.756809925192,2.07500448561385,0.676709136054949,0.71898828641567,0.642003781634952,0.89861742672545,0.261704359216759,0.329218316861105,0.273690936123256,23953,39442,52,Doufelgou
Doufelgou,613,1,20.8674942344155,3.3559707367416,0.704452705285972,0.591342079976479,0.665687558394559,0.615975410943503,0.221711690815986,0.660029429608466,0.413827843358144,30826,24765,61,Doufelgou
Doufelgou,569,2,18.9540079144591,2.57106822489298,0.690854696727026,0.638152843353777,0.726875764673079,0.806696870687456,0.203483607315508,0.628050368710762,0.40183452035673,29776,34016,56,Doufelgou
Doufelgou,617,3,20.5849481048251,3.3559707367416,0.695285167293441,0.648906547403854,0.697275547886376,0.696897391708625,0.19041189302906,0.421553480643511,0.356369645709277,30826,32921,61,Doufelgou
Doufelgou,549,4,15.595110770942,2.30627957572954,0.642354932138804,0.665289352104365,0.7808799141927,0.874047200635813,0.202856647252934,0.326853129978037,0.41449302716606,25332,25605,54,Doufelgou
Doufelgou,561,5,17.5067768201174,2.57106822489298,0.576592257863764,0.641646705537244,0.665997294108477,0.533487553988146,0.165817561366616,0.360334251907298,0.345160326963785,29776,34822,56,Doufelgou
